Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,4,"[8, 5, 6, 7]",0.836,0.846,0.9895288919912618,0.22973642053527998,Accept
2,4,"[8, 2, 6, 7]",0.784,0.846,0.9376333560224186,0.6825318965411075,Accept
3,3,"[2, 6, 7]",0.598,0.846,0.7626249684255856,0.21070569305551456,Accept
4,2,"[6, 7]",0.667,0.846,-,-,Improved
5,2,"[8, 7]",0.8,0.846,-,-,Improved
6,2,"[1, 7]",0.807,0.846,-,-,Improved
7,3,"[1, 3, 7]",0.8,0.846,0.980652477850944,0.14532204970258034,Accept
8,4,"[8, 1, 3, 7]",0.794,0.846,0.9804914898903151,0.7751967345907494,Accept
9,5,"[1, 3, 4, 7, 8]",0.795,0.846,-,-,Improved
10,5,"[1, 2, 3, 4, 8]",0.799,0.846,-,-,Improved
11,5,"[1, 2, 3, 7, 8]",0.799,0.846,1.0,0.5163607533332304,Accept
12,4,"[1, 2, 3, 7]",0.802,0.846,-,-,Improved
13,4,"[8, 1, 2, 7]",0.793,0.846,0.9355668339147806,0.35524600979164533,Accept
14,4,"[0, 1, 8, 7]",0.866,0.866,-,-,Improved
15,5,"[0, 1, 4, 7, 8]",0.857,0.866,0.9119376482618138,0.24900023497090207,Accept
16,6,"[0, 1, 3, 4, 7, 8]",0.85,0.866,0.9191085364092055,0.6760801198208578,Accept
17,6,"[0, 1, 3, 4, 7, 8]",0.794,0.866,0.4520817116069266,0.6143780630138561,Reject
18,7,"[0, 1, 3, 4, 6, 7, 8]",0.838,0.866,0.8186153812122203,0.29022114132520593,Accept
19,8,"[0, 1, 3, 4, 5, 6, 7, 8]",0.841,0.866,-,-,Improved
20,7,"[0, 1, 3, 4, 5, 6, 8]",0.844,0.866,-,-,Improved
21,7,"[0, 1, 2, 3, 4, 5, 8]",0.864,0.866,-,-,Improved
22,7,"[0, 1, 2, 4, 5, 7, 8]",0.866,0.866,-,-,Improved
23,6,"[0, 1, 2, 4, 7, 8]",0.846,0.866,0.4715270947013199,0.07218306870133473,Accept
24,5,"[0, 1, 2, 4, 8]",0.843,0.866,0.8757568178126337,0.8612925213014921,Accept
25,4,"[0, 1, 2, 8]",0.844,0.866,-,-,Improved
26,4,"[0, 1, 2, 8]",0.838,0.866,0.6926407412469997,0.7107745383084112,Reject
27,4,"[8, 1, 2, 5]",0.842,0.866,0.8658728667643105,0.31031567012158556,Accept
28,4,"[8, 1, 2, 5]",0.791,0.866,0.013293028028805618,0.3500045263573225,Reject
29,4,"[8, 1, 2, 5]",0.833,0.866,0.40779411339962773,0.7678136896643573,Reject
