Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,3,"[0, 4, 5]",0.698,0.84,0.867621256485914,0.6298354158347745,Accept
2,3,"[0, 5, 6]",0.705,0.84,-,-,Improved
3,3,"[2, 5, 6]",0.682,0.84,0.968667454663194,0.5708561943507928,Accept
4,2,"[5, 6]",0.693,0.84,-,-,Improved
5,2,"[5, 8]",0.812,0.84,-,-,Improved
6,2,"[5, 7]",0.703,0.84,0.7821892643713846,0.18875761681330105,Accept
7,3,"[4, 5, 7]",0.695,0.84,0.9790116401190784,0.23393753411075968,Accept
8,2,"[4, 7]",0.633,0.84,0.8241512417766085,0.2253807908600176,Accept
9,3,"[3, 4, 7]",0.629,0.84,0.9854278077687337,0.765012322877349,Accept
10,3,"[1, 3, 4]",0.8,0.84,-,-,Improved
11,4,"[1, 3, 4, 8]",0.794,0.84,0.9699834371977591,0.486754658638749,Accept
12,4,"[0, 1, 4, 8]",0.857,0.857,-,-,Improved
13,3,"[0, 4, 8]",0.855,0.857,0.9860378194129525,0.8805951425202193,Accept
14,3,"[0, 4, 8]",0.709,0.857,0.2989273461088671,0.870983398811801,Reject
15,3,"[0, 4, 8]",0.695,0.857,0.2107928079833644,0.4440254470317231,Reject
16,4,"[0, 4, 7, 8]",0.852,0.857,0.9662400932393046,0.7025087476009471,Accept
17,5,"[0, 4, 5, 7, 8]",0.846,0.857,0.9223717854875492,0.8879519922883181,Accept
18,5,"[0, 3, 4, 5, 8]",0.843,0.857,0.9535785565215286,0.012838718274769345,Accept
19,4,"[0, 4, 5, 8]",0.846,0.857,-,-,Improved
20,4,"[0, 4, 5, 8]",0.84,0.857,0.8767086628627654,0.9079821719293836,Reject
21,4,"[0, 3, 5, 8]",0.846,0.857,1.0,0.38384399477680575,Accept
22,4,"[0, 3, 5, 8]",0.836,0.857,0.7382072585695048,0.955719792262299,Reject
23,4,"[0, 3, 5, 8]",0.734,0.857,0.018325481487471144,0.35899722294202474,Reject
24,5,"[0, 1, 3, 5, 8]",0.845,0.857,0.9588590763754683,0.25746267331778727,Accept
25,6,"[0, 1, 2, 3, 5, 8]",0.87,0.87,-,-,Improved
26,5,"[0, 1, 2, 5, 8]",0.867,0.87,0.8399265621920531,0.08758614354937411,Accept
27,5,"[0, 2, 5, 7, 8]",0.861,0.87,0.6633523506585192,0.05202135630369731,Accept
28,6,"[0, 2, 4, 5, 7, 8]",0.858,0.87,0.7854954788500249,0.637302820784301,Accept
29,6,"[0, 2, 3, 5, 7, 8]",0.861,0.87,-,-,Improved
