Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,5,"[3, 4, 5, 7, 8]",0.842,0.845,0.9968470861683049,0.7862766740346859,Accept
2,5,"[2, 4, 5, 7, 8]",0.854,0.854,-,-,Improved
3,6,"[1, 2, 4, 5, 7, 8]",0.858,0.858,-,-,Improved
4,6,"[1, 2, 3, 4, 7, 8]",0.794,0.858,0.8961045184448502,0.19171277641038031,Accept
5,7,"[0, 1, 2, 3, 4, 7, 8]",0.847,0.858,-,-,Improved
6,6,"[0, 1, 2, 3, 7, 8]",0.848,0.858,-,-,Improved
7,7,"[0, 1, 2, 3, 5, 7, 8]",0.862,0.862,-,-,Improved
8,8,"[0, 1, 2, 3, 5, 6, 7, 8]",0.858,0.862,0.9869516688346129,0.8330880313448152,Accept
9,7,"[0, 1, 2, 3, 6, 7, 8]",0.84,0.862,0.9328283747330386,0.6394727861402009,Accept
10,8,"[0, 1, 2, 3, 4, 6, 7, 8]",0.839,0.862,0.9954656027408555,0.3740000924492153,Accept
11,7,"[0, 1, 2, 3, 4, 6, 7]",0.834,0.862,0.9736205977060655,0.7349326036744478,Accept
12,7,"[0, 1, 2, 3, 4, 5, 7]",0.855,0.862,-,-,Improved
13,8,"[0, 1, 2, 3, 4, 5, 6, 7]",0.848,0.862,0.9495167621207716,0.17456768433470582,Accept
14,7,"[0, 1, 3, 4, 5, 6, 7]",0.821,0.862,0.7905168306484159,0.5617523385593156,Accept
15,6,"[0, 1, 3, 5, 6, 7]",0.821,0.862,1.0,0.07376162871398073,Accept
16,6,"[0, 1, 2, 3, 6, 7]",0.84,0.862,-,-,Improved
17,5,"[0, 1, 2, 3, 6]",0.845,0.862,-,-,Improved
18,4,"[1, 2, 3, 6]",0.796,0.862,0.4416479920688817,0.34548124183824613,Accept
19,4,"[0, 1, 3, 6]",0.822,0.862,-,-,Improved
20,4,"[0, 1, 3, 6]",0.687,0.862,0.04431725421727658,0.23165943634762953,Reject
21,3,"[0, 1, 6]",0.833,0.862,-,-,Improved
22,2,"[0, 1]",0.825,0.862,0.7744479990908006,0.6766916396061867,Accept
23,3,"[0, 1, 2]",0.838,0.862,-,-,Improved
24,4,"[0, 1, 2, 5]",0.862,0.862,-,-,Improved
25,5,"[0, 1, 2, 5, 7]",0.866,0.866,-,-,Improved
26,6,"[0, 1, 2, 5, 6, 7]",0.859,0.866,0.6515174298903021,0.2695083033736527,Accept
27,6,"[0, 1, 2, 3, 5, 7]",0.857,0.866,0.8658728667643105,0.68424333825417,Accept
28,6,"[0, 1, 2, 3, 5, 7]",0.728,0.866,1.7942058544815685e-05,0.6285406893476315,Reject
29,6,"[0, 1, 2, 4, 5, 7]",0.859,0.866,-,-,Improved
