Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,4,"[0, 1, 2, 6]",0.836,0.836,-,-,Improved
2,3,"[0, 1, 6]",0.833,0.836,0.9964768092879589,0.9614167852849211,Accept
3,3,"[0, 3, 6]",0.687,0.836,0.8170327293117139,0.8048895180425133,Accept
4,3,"[0, 3, 7]",0.706,0.836,-,-,Improved
5,3,"[0, 3, 7]",0.629,0.836,0.8628556973156194,0.9920885041683257,Reject
6,2,"[0, 3]",0.686,0.836,0.9559258212515526,0.5522831399521614,Accept
7,2,"[3, 5]",0.667,0.836,0.9508700242847976,0.8205260953293517,Accept
8,2,"[4, 5]",0.669,0.836,-,-,Improved
9,2,"[8, 4]",0.791,0.836,-,-,Improved
10,3,"[8, 4, 7]",0.797,0.836,-,-,Improved
11,2,"[8, 7]",0.8,0.836,-,-,Improved
12,2,"[8, 2]",0.777,0.836,0.8715848488883531,0.6583536792135695,Accept
13,3,"[8, 2, 7]",0.79,0.836,-,-,Improved
14,3,"[8, 2, 7]",0.609,0.836,0.22379227038620708,0.9084575431381872,Reject
15,4,"[8, 0, 2, 7]",0.848,0.848,-,-,Improved
16,4,"[8, 0, 2, 7]",0.682,0.848,0.14952242462952628,0.32363344521889714,Reject
17,3,"[8, 0, 7]",0.862,0.862,-,-,Improved
18,4,"[8, 0, 4, 7]",0.851,0.862,0.8400537599591474,0.20379928076027765,Accept
19,4,"[8, 0, 4, 7]",0.709,0.862,0.07086618863300156,0.9395958235616475,Reject
20,4,"[8, 0, 4, 7]",0.839,0.862,0.768618079538618,0.9216147056424079,Reject
21,5,"[0, 2, 4, 7, 8]",0.843,0.862,0.813506920057703,0.2409722576707144,Accept
22,5,"[0, 2, 4, 7, 8]",0.786,0.862,0.17726229739809882,0.7855372737238351,Reject
23,5,"[0, 2, 4, 7, 8]",0.7,0.862,0.006057507225113264,0.15613277066286724,Reject
24,5,"[0, 2, 4, 5, 8]",0.857,0.862,-,-,Improved
25,5,"[0, 2, 4, 5, 8]",0.84,0.862,0.4316141469544909,0.6357694746216067,Reject
26,5,"[0, 2, 4, 5, 8]",0.723,0.862,0.0004131541364831083,0.48436620946226405,Reject
27,5,"[0, 2, 4, 5, 8]",0.713,0.862,5.2706301094849906e-05,0.7200074253097578,Reject
28,6,"[0, 2, 3, 4, 5, 8]",0.86,0.862,-,-,Improved
29,7,"[0, 2, 3, 4, 5, 7, 8]",0.855,0.862,0.6228728362464573,0.3864576766811586,Accept
